cd_commune_2025,cd_nuts3_2027
21001,BE100
21002,BE100
21003,BE100
21004,BE100
21005,BE100
21006,BE100
21007,BE100
21008,BE100
21009,BE100
21010,BE100
21011,BE100
21012,BE100
21013,BE100
21014,BE100
21015,BE100
21016,BE100
21017,BE100
21018,BE100
21019,BE100
11001,BE261
11002,BE261
11004,BE261
11005,BE261
11008,BE261
11009,BE261
11013,BE261
11016,BE261
11018,BE261
11021,BE261
11022,BE261
11023,BE261
11024,BE261
11025,BE261
11029,BE261
11030,BE261
11035,BE261
11037,BE261
11038,BE261
11039,BE261
11040,BE261
11044,BE261
11050,BE261
11052,BE261
11053,BE261
11054,BE261
11055,BE261
11057,BE261
12002,BE262
12005,BE262
12007,BE262
12009,BE262
12014,BE262
12021,BE262
12025,BE262
12026,BE262
12029,BE262
12035,BE262
12040,BE262
12041,BE262
13001,BE263
13002,BE263
13003,BE263
13004,BE263
13006,BE263
13008,BE263
13010,BE263
13011,BE263
13012,BE263
13013,BE263
13014,BE263
13016,BE263
13017,BE263
13019,BE263
13021,BE263
13023,BE263
13025,BE263
13029,BE263
13031,BE263
13035,BE263
13036,BE263
13037,BE263
13040,BE263
13044,BE263
13046,BE263
13049,BE263
13053,BE263
71002,BE227
71004,BE227
71011,BE227
71016,BE227
71017,BE227
71020,BE227
71024,BE227
71034,BE227
71037,BE227
71045,BE227
71053,BE227
71066,BE227
71067,BE227
71070,BE227
71071,BE227
71072,BE227
72003,BE225
72004,BE225
72018,BE225
72020,BE225
72021,BE225
72030,BE225
72037,BE225
72038,BE225
72039,BE225
72041,BE225
72042,BE225
72043,BE225
73001,BE226
73022,BE226
73028,BE226
73042,BE226
73066,BE226
73098,BE226
73107,BE226
73109,BE226
73110,BE226
73111,BE226
41002,BE271
41011,BE271
41018,BE271
41024,BE271
41027,BE271
41034,BE271
41048,BE271
41063,BE271
41081,BE271
41082,BE271
42003,BE272
42004,BE272
42006,BE272
42008,BE272
42010,BE272
42011,BE272
42023,BE272
42025,BE272
42026,BE272
42028,BE272
43002,BE273
43005,BE273
43007,BE273
43010,BE273
43014,BE273
43018,BE273
44013,BE274
44019,BE274
44020,BE274
44021,BE274
44052,BE274
44064,BE274
44081,BE274
44083,BE274
44084,BE274
44085,BE274
44086,BE274
44087,BE274
44088,BE274
45035,BE275
45041,BE275
45059,BE275
45060,BE275
45061,BE275
45062,BE275
45063,BE275
45064,BE275
45065,BE275
45068,BE275
46020,BE276
46021,BE276
46024,BE276
46025,BE276
46029,BE276
46030,BE276
23002,BE241
23003,BE241
23009,BE241
23016,BE241
23025,BE241
23027,BE241
23033,BE241
23038,BE241
23039,BE241
23044,BE241
23045,BE241
23047,BE241
23050,BE241
23052,BE241
23060,BE241
23062,BE241
23064,BE241
23077,BE241
23081,BE241
23086,BE241
23088,BE241
23094,BE241
23096,BE241
23097,BE241
23098,BE241
23099,BE241
23100,BE241
23101,BE241
23102,BE241
23103,BE241
23104,BE241
23105,BE241
23106,BE241
24001,BE242
24007,BE242
24008,BE242
24009,BE242
24011,BE242
24014,BE242
24016,BE242
24020,BE242
24028,BE242
24033,BE242
24038,BE242
24041,BE242
24043,BE242
24045,BE242
24048,BE242
24054,BE242
24055,BE242
24059,BE242
24062,BE242
24066,BE242
24086,BE242
24094,BE242
24104,BE242
24107,BE242
24109,BE242
24130,BE242
24133,BE242
24134,BE242
24135,BE242
24137,BE242
31003,BE251
31004,BE251
31005,BE251
31006,BE251
31012,BE251
31022,BE251
31033,BE251
31040,BE251
31042,BE251
31043,BE251
32003,BE252
32006,BE252
32010,BE252
32011,BE252
32030,BE252
33011,BE253
33016,BE253
33021,BE253
33029,BE253
33037,BE253
33039,BE253
33040,BE253
33041,BE253
34002,BE254
34003,BE254
34009,BE254
34013,BE254
34022,BE254
34023,BE254
34025,BE254
34027,BE254
34040,BE254
34041,BE254
34042,BE254
34043,BE254
35002,BE255
35005,BE255
35006,BE255
35011,BE255
35013,BE255
35014,BE255
35029,BE255
36006,BE256
36007,BE256
36008,BE256
36010,BE256
36011,BE256
36012,BE256
36015,BE256
36019,BE256
37002,BE257
37010,BE257
37011,BE257
37017,BE257
37020,BE257
37021,BE257
37022,BE257
38002,BE258
38008,BE258
38014,BE258
38016,BE258
38025,BE258
25005,BE310
25014,BE310
25015,BE310
25018,BE310
25023,BE310
25031,BE310
25037,BE310
25043,BE310
25044,BE310
25048,BE310
25050,BE310
25068,BE310
25072,BE310
25084,BE310
25091,BE310
25105,BE310
25107,BE310
25110,BE310
25112,BE310
25117,BE310
25118,BE310
25119,BE310
25120,BE310
25121,BE310
25122,BE310
25123,BE310
25124,BE310
51004,BE32A
51008,BE32A
51009,BE32A
51012,BE32A
51014,BE32A
51017,BE32A
51019,BE32A
51065,BE32A
51067,BE32A
51068,BE32A
51069,BE32A
52010,BE32B
52011,BE32B
52012,BE32B
52015,BE32B
52018,BE32B
52021,BE32B
52022,BE32B
52025,BE32B
52048,BE32B
52055,BE32B
52074,BE32B
52075,BE32B
53014,BE323
53020,BE323
53028,BE323
53039,BE323
53044,BE323
53046,BE323
53053,BE323
53065,BE323
53068,BE323
53070,BE323
53082,BE323
53083,BE323
53084,BE323
55004,BE32C
55035,BE32C
55040,BE32C
55050,BE32C
55085,BE32C
55086,BE32C
56001,BE32D
56005,BE32D
56016,BE32D
56022,BE32D
56029,BE32D
56044,BE32D
56049,BE32D
56051,BE32D
56078,BE32D
56086,BE32D
56088,BE32D
57003,BE328
57018,BE328
57027,BE328
57062,BE328
57064,BE328
57072,BE328
57081,BE328
57093,BE328
57094,BE328
57095,BE328
57096,BE328
57097,BE328
58001,BE329
58002,BE329
58003,BE329
58004,BE329
61003,BE331
61010,BE331
61012,BE331
61019,BE331
61024,BE331
61028,BE331
61031,BE331
61039,BE331
61041,BE331
61043,BE331
61048,BE331
61063,BE331
61068,BE331
61072,BE331
61079,BE331
61080,BE331
61081,BE331
62003,BE332
62006,BE332
62009,BE332
62011,BE332
