cd_commune,tx_commune_fr,tx_commune_nl,cd_arr,tx_arr_fr,tx_arr_nl,cd_arr_2digit,cd_province,tx_prov_fr,tx_prov_nl,cd_region,tx_region_fr,tx_region_nl,nis_version
20001,Province du Brabant Flamand,Provincie Vlaams-Brabant,20000,,,20,,,,,,,2025
20002,Province du Brabant Wallon,Provincie Waals-Brabant,20000,,,20,,,,,,,2025
21001,Anderlecht,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,2025
21002,Auderghem,Oudergem,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,2025
21003,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,2025
21004,Bruxelles,Brussel,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,2025
21005,Etterbeek,Etterbeek,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,2025
21006,Evere,Evere,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,2025
21007,Forest,Vorst,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,2025
21008,Ganshoren,Ganshoren,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,2025
21009,Ixelles,Elsene,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,2025
21010,Jette,Jette,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,2025
21011,Koekelberg,Koekelberg,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,2025
