cd_refnis_old,cd_refnis_new,nature
44045,46029,CHANGE_DSTR
73040,71072,CHANGE_DSTR
11056,46030,CHANGE_PROV
11002,11002,FUSION
11007,11002,FUSION
23023,23106,FUSION
23024,23106,FUSION
23032,23106,FUSION
37012,37021,FUSION
37018,37021,FUSION
37007,37022,FUSION
37015,37022,FUSION
44012,44086,FUSION
44048,44086,FUSION
44034,44087,FUSION
44073,44087,FUSION
46014,46029,FUSION
44043,44088,FUSION
44040,44088,FUSION
46013,46030,FUSION
46003,46030,FUSION
73032,73110,FUSION
73006,73110,FUSION
73083,73111,FUSION
73009,73111,FUSION
71057,71071,FUSION
71069,71071,FUSION
71022,71072,FUSION
82003,82039,FUSION
82005,82039,FUSION
