cd_nuts3,cd_refnis_arr,tx_nuts3_fr,tx_nuts3_nl
BE100,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad
BE211,11000,Arrondissement d’Anvers,Arrondissement Antwerpen
BE212,12000,Arrondissement de Malines,Arrondissement Mechelen
BE213,13000,Arrondissement de Turnhout,Arrondissement Turnhout
BE223,73000,Arrondissement de Tongres,Arrondissement Tongeren
BE231,41000,Arrondissement d’Alost,Arrondissement Aalst
BE232,42000,Arrondissement de Termonde,Arrondissement Dendermonde
BE233,43000,Arrondissement d’Eeklo,Arrondissement Eeklo
BE234,44000,Arrondissement de Gand,Arrondissement Gent
BE235,45000,Arrondissement d’Audenarde,Arrondissement Oudenaarde
BE236,46000,Arrondissement de Saint-Nicolas,Arrondissement Sint-Niklaas
BE241,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde
BE242,24000,Arrondissement de Louvain,Arrondissement Leuven
BE251,31000,Arrondissement de Bruges,Arrondissement Brugge
BE252,32000,Arrondissement de Dixmude,Arrondissement Diksmuide
BE253,33000,Arrondissement d’Ypres,Arrondissement Ieper
BE254,34000,Arrondissement de Courtrai,Arrondissement Kortrijk
BE255,35000,Arrondissement d’Ostende,Arrondissement Oostende
BE256,36000,Arrondissement de Roulers,Arrondissement Roeselare
BE257,37000,Arrondissement de Tielt,Arrondissement Tielt
BE258,38000,Arrondissement de Furnes,Arrondissement Veurne
BE310,25000,Arrondissement de Nivelles,Arrondissement Nijvel
BE323,53000,Arrondissement de Mons,Arrondissement Bergen
BE331,61000,Arrondissement de Huy,Arrondissement Hoei
BE332,62000,Arrondissement de Liège,Arrondissement Luik
BE334,64000,Arrondissement de Waremme,Arrondissement Borgworm
BE335,63000,Arrondissement de Verviers - Communes francophones,Arrondissement Verviers - Franstalige gemeenten
BE336,63000,Arrondissement de Verviers - Communes germanophones,Arrondissement Verviers - Duitstalige gemeenten
BE341,81000,Arrondissement d’Arlon,Arrondissement Aarlen
BE342,82000,Arrondissement de Bastogne,Arrondissement Bastenaken
BE343,83000,Arrondissement de Marche-en-Famenne,Arrondissement Marche-en-Famenne
BE344,84000,Arrondissement de Neufchâteau,Arrondissement Neufchâteau
BE345,85000,Arrondissement de Virton,Arrondissement Virton
BE351,91000,Arrondissement de Dinant,Arrondissement Dinant
BE352,92000,Arrondissement de Namur,Arrondissement Namen
BE353,93000,Arrondissement de Philippeville,Arrondissement Philippeville
BE224,71000,Arrondissement de Hasselt,Arrondissement Hasselt
BE225,72000,Arrondissement de Maaseik,Arrondissement Maaseik
BE328,57000,Arrondissement de Tournai-Mouscron,Arrondissement Tournai-Moeskroen
BE329,58000,Arrondissement de La Louvière,Arrondissement La Louvière
BE32A,51000,Arrondissement d’Ath,Arrondissement Aat
BE32B,52000,Arrondissement de Charleroi,Arrondissement Charleroi
BE32C,55000,Arrondissement de Soignies,Arrondissement Zinnik
BE32D,56000,Arrondissement de Thuin,Arrondissement Thuin
