cd_nuts3_2027,cd_nuts2_2027,tx_nuts3_fr,tx_nuts3_nl
BE100,BE10,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad
BE261,BE26,Arrondissement d’Anvers,Arrondissement Antwerpen
BE262,BE26,Arrondissement de Malines,Arrondissement Mechelen
BE263,BE26,Arrondissement de Turnhout,Arrondissement Turnhout
BE227,BE22,Arrondissement de Hasselt,Arrondissement Hasselt
BE225,BE22,Arrondissement de Maaseik,Arrondissement Maaseik
BE226,BE22,Arrondissement de Tongres,Arrondissement Tongeren
BE271,BE27,Arrondissement d’Alost,Arrondissement Aalst
BE272,BE27,Arrondissement de Termonde,Arrondissement Dendermonde
BE273,BE27,Arrondissement d’Eeklo,Arrondissement Eeklo
BE274,BE27,Arrondissement de Gand,Arrondissement Gent
BE275,BE27,Arrondissement d’Audenarde,Arrondissement Oudenaarde
BE276,BE27,Arrondissement de Saint-Nicolas,Arrondissement Sint-Niklaas
BE241,BE24,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde
BE242,BE24,Arrondissement de Louvain,Arrondissement Leuven
BE251,BE25,Arrondissement de Bruges,Arrondissement Brugge
BE252,BE25,Arrondissement de Dixmude,Arrondissement Diksmuide
BE253,BE25,Arrondissement d’Ypres,Arrondissement Ieper
BE254,BE25,Arrondissement de Courtrai,Arrondissement Kortrijk
BE255,BE25,Arrondissement d’Ostende,Arrondissement Oostende
BE256,BE25,Arrondissement de Roulers,Arrondissement Roeselare
BE257,BE25,Arrondissement de Tielt,Arrondissement Tielt
BE258,BE25,Arrondissement de Furnes,Arrondissement Veurne
BE310,BE31,Arrondissement de Nivelles,Arrondissement Nijvel
BE32A,BE32,Arrondissement d’Ath,Arrondissement Aat
BE32B,BE32,Arrondissement de Charleroi,Arrondissement Charleroi
BE323,BE32,Arrondissement de Mons,Arrondissement Bergen
BE32C,BE32,Arrondissement de Soignies,Arrondissement Zinnik
BE32D,BE32,Arrondissement de Thuin,Arrondissement Thuin
BE328,BE32,Arrondissement de Tournai-Mouscron,Arrondissement Tournai-Moeskroen
BE329,BE32,Arrondissement de La Louvière,Arrondissement La Louvière
BE331,BE33,Arrondissement de Huy,Arrondissement Hoei
BE332,BE33,Arrondissement de Liège,Arrondissement Luik
BE335,BE33,Arrondissement de Verviers - Communes francophones,Arrondissement Verviers - Franstalige gemeenten
BE336,BE33,Arrondissement de Verviers - Communes germanophones,Arrondissement Verviers - Duitstalige gemeenten
BE334,BE33,Arrondissement de Waremme,Arrondissement Borgworm
BE341,BE34,Arrondissement d’Arlon,Arrondissement Aarlen
BE342,BE34,Arrondissement de Bastogne,Arrondissement Bastenaken
BE343,BE34,Arrondissement de Marche-en-Famenne,Arrondissement Marche-en-Famenne
BE344,BE34,Arrondissement de Neufchâteau,Arrondissement Neufchâteau
BE345,BE34,Arrondissement de Virton,Arrondissement Virton
BE351,BE35,Arrondissement de Dinant,Arrondissement Dinant
BE352,BE35,Arrondissement de Namur,Arrondissement Namen
BE353,BE35,Arrondissement de Philippeville,Arrondissement Philippeville
