cd_postal,cd_commune_nis,tx_postal_name_fr,tx_postal_name_nl
1040,21005,Etterbeek,Etterbeek
1050,21009,Ixelles,Elsene
1804,23088,Vilvorde,Vilvoorde
1000,21004,Bruxelles,Brussel
1030,21015,Schaerbeek,Schaarbeek
1060,21013,Saint-Gilles,Sint-Gillis
1070,21001,Anderlecht,Anderlecht
1080,21012,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek
1081,21011,Koekelberg,Koekelberg
1082,21003,Berchem-Sainte-Agathe,Sint-Agatha-Berchem
1083,21008,Ganshoren,Ganshoren
1090,21010,Jette,Jette
1120,21004,Bruxelles,Brussel
1130,21004,Bruxelles,Brussel
1140,21006,Evere,Evere
1150,21019,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe
1160,21002,Auderghem,Oudergem
1170,21017,Watermael-Boitsfort,Watermaal-Bosvoorde
1180,21016,Uccle,Ukkel
1190,21007,Forest,Vorst
1200,21018,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe
1210,21014,Saint-Josse-ten-Noode,Sint-Joost-ten-Node
1300,25112,Wavre,Waver
1301,25112,Wavre,Waver
1310,25050,La Hulpe,Terhulpen
1315,25043,Incourt,Incourt
1320,25005,Beauvechain,Bevekom
1325,25018,Chaumont-Gistoux,Chaumont-Gistoux
1330,25091,Rixensart,Rixensart
1331,25091,Rixensart,Rixensart
1332,25091,Rixensart,Rixensart
1340,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
1341,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
1342,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
1348,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
1350,25120,Orp-Jauche,Orp-Jauche
1357,25118,Hélécine,Hélécine
1360,25084,Perwez,Perwijs
1367,25122,Ramillies,Ramillies
1370,25048,Jodoigne,Geldenaken
1380,25119,Lasne,Lasne
1390,25037,Grez-Doiceau,Graven
1400,25072,Nivelles,Nijvel
1401,25072,Nivelles,Nijvel
1402,25072,Nivelles,Nijvel
1404,25072,Nivelles,Nijvel
1410,25110,Waterloo,Waterloo
1420,25014,Braine-l’Alleud,Eigenbrakel
1421,25014,Braine-l’Alleud,Eigenbrakel
1428,25014,Braine-l’Alleud,Eigenbrakel
1430,25123,Rebecq,Rebecq
1435,25068,Mont-Saint-Guibert,Mont-Saint-Guibert
1440,25015,Braine-le-Château,Kasteelbrakel
1450,25117,Chastre,Chastre
1457,25124,Walhain,Walhain
1460,25044,Ittre,Itter
1461,25044,Ittre,Itter
1470,25031,Genappe,Genepiën
1471,25031,Genappe,Genepiën
1472,25031,Genappe,Genepiën
1473,25031,Genappe,Genepiën
1474,25031,Genappe,Genepiën
1476,25031,Genappe,Genepiën
1480,25105,Tubize,Tubeke
1490,25023,Court-Saint-Etienne,Court-Saint-Etienne
1495,25107,Villers-la-Ville,Villers-la-Ville
1500,23027,Hal,Halle
1501,23027,Hal,Halle
1502,23027,Hal,Halle
1540,23106,Pajottegem,Pajottegem
1541,23106,Pajottegem,Pajottegem
1547,23009,Biévène,Bever
1560,23033,Hoeilaart,Hoeilaart
1570,23106,Pajottegem,Pajottegem
1600,23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw
1601,23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw
1602,23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw
1620,23098,Drogenbos,Drogenbos
1630,23100,Linkebeek,Linkebeek
1640,23101,Rhode-Saint-Genèse,Sint-Genesius-Rode
1650,23003,Beersel,Beersel
1651,23003,Beersel,Beersel
1652,23003,Beersel,Beersel
1653,23003,Beersel,Beersel
1654,23003,Beersel,Beersel
1670,23064,Pepingen,Pepingen
1671,23064,Pepingen,Pepingen
1673,23064,Pepingen,Pepingen
1674,23064,Pepingen,Pepingen
1700,23016,Dilbeek,Dilbeek
1701,23016,Dilbeek,Dilbeek
1702,23016,Dilbeek,Dilbeek
1703,23016,Dilbeek,Dilbeek
1730,23002,Asse,Asse
1731,23002,Asse,Asse
1740,23086,Ternat,Ternat
1741,23086,Ternat,Ternat
1742,23086,Ternat,Ternat
1745,23060,Opwijk,Opwijk
1750,23104,Lennik,Lennik
1755,23106,Pajottegem,Pajottegem
1760,23097,Roosdaal,Roosdaal
1761,23097,Roosdaal,Roosdaal
1770,23044,Liedekerke,Liedekerke
1780,23102,Wemmel,Wemmel
1785,23052,Merchtem,Merchtem
1790,23105,Affligem,Affligem
1800,23088,Vilvorde,Vilvoorde
1820,23081,Steenokkerzeel,Steenokkerzeel
1830,23047,Machelen,Machelen
1831,23047,Machelen,Machelen
1840,23045,Londerzeel,Londerzeel
1850,23025,Grimbergen,Grimbergen
1851,23025,Grimbergen,Grimbergen
1852,23025,Grimbergen,Grimbergen
1853,23025,Grimbergen,Grimbergen
1860,23050,Meise,Meise
1861,23050,Meise,Meise
1880,23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos
1910,23038,Kampenhout,Kampenhout
1930,23094,Zaventem,Zaventem
1931,23047,Machelen,Machelen
1932,23094,Zaventem,Zaventem
1933,23094,Zaventem,Zaventem
1950,23099,Kraainem,Kraainem
1970,23103,Wezembeek-Oppem,Wezembeek-Oppem
1980,23096,Zemst,Zemst
1981,23096,Zemst,Zemst
1982,23096,Zemst,Zemst
2000,11002,Anvers,Antwerpen
2018,11002,Anvers,Antwerpen
2020,11002,Anvers,Antwerpen
2030,11002,Anvers,Antwerpen
2040,11002,Anvers,Antwerpen
2050,11002,Anvers,Antwerpen
2060,11002,Anvers,Antwerpen
2070,46030,Beveren-Kruibeke-Zwijndrecht,Beveren-Kruibeke-Zwijndrecht
2100,11002,Anvers,Antwerpen
2110,11050,Wijnegem,Wijnegem
2140,11002,Anvers,Antwerpen
2150,11002,Anvers,Antwerpen
2160,11052,Wommelgem,Wommelgem
2170,11002,Anvers,Antwerpen
2180,11002,Anvers,Antwerpen
2200,13011,Herentals,Herentals
2220,12014,Heist-op-den-Berg,Heist-op-den-Berg
2221,12014,Heist-op-den-Berg,Heist-op-den-Berg
2222,12014,Heist-op-den-Berg,Heist-op-den-Berg
2223,12014,Heist-op-den-Berg,Heist-op-den-Berg
2230,13013,Herselt,Herselt
2235,13016,Hulshout,Hulshout
2240,11054,Zandhoven,Zandhoven
2242,11054,Zandhoven,Zandhoven
2243,11054,Zandhoven,Zandhoven
2250,13029,Olen,Olen
2260,13049,Westerlo,Westerlo
2270,13012,Herenthout,Herenthout
2275,13019,Lille,Lille
2280,13010,Grobbendonk,Grobbendonk
2288,13010,Grobbendonk,Grobbendonk
2290,13044,Vorselaar,Vorselaar
2300,13040,Turnhout,Turnhout
2310,13037,Rijkevorsel,Rijkevorsel
2320,13014,Hoogstraten,Hoogstraten
2321,13014,Hoogstraten,Hoogstraten
2322,13014,Hoogstraten,Hoogstraten
2323,13014,Hoogstraten,Hoogstraten
2328,13014,Hoogstraten,Hoogstraten
2330,13023,Merksplas,Merksplas
2340,13004,Beerse,Beerse
2350,13046,Vosselaar,Vosselaar
2360,13031,Oud-Turnhout,Oud-Turnhout
2370,13001,Arendonk,Arendonk
2380,13035,Ravels,Ravels
2381,13035,Ravels,Ravels
2382,13035,Ravels,Ravels
2387,13002,Baerle-Duc,Baarle-Hertog
2390,11057,Malle,Malle
2400,13025,Mol,Mol
2430,13053,Laakdal,Laakdal
2431,13053,Laakdal,Laakdal
2440,13008,Geel,Geel
2450,13021,Meerhout,Meerhout
2460,13017,Kasterlee,Kasterlee
2470,13036,Retie,Retie
2480,13006,Dessel,Dessel
2490,13003,Balen,Balen
2491,13003,Balen,Balen
2500,12021,Lierre,Lier
2520,11035,Ranst,Ranst
2530,11004,Boechout,Boechout
2531,11004,Boechout,Boechout
2540,11021,Hove,Hove
2547,11025,Lint,Lint
2550,11024,Kontich,Kontich
