C_BASE_CLIST_ARCA,Y_BASE_CLIST_ARCA,C_BASE_CODE_ARCA,B_BASE_CODE_XTRA_ARCA,C_OVER_CLIST_ARCA,C_OVER_CODE_ARCA,B_OVER_CODE_XTRA_ARCA,Q_COMB_VAL_ARCA,C_COMB_COMM_ARCA,N_UPD_USR_ARCA,D_UPD_ARCA,B_BASE_CODE_EMPTY_ARCA
NUTS3,2016,BE100,0,ARROND,21,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE100,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE100,0,NUTS1,BE1,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE100,0,NUTS2,BE10,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE211,0,ARROND,11,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE211,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE211,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE211,0,NUTS2,BE21,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE212,0,ARROND,12,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE212,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE212,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE212,0,NUTS2,BE21,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE213,0,ARROND,13,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE213,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE213,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE213,0,NUTS2,BE21,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE221,0,ARROND,71,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE221,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE221,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE221,0,NUTS2,BE22,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE222,0,ARROND,72,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE222,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE222,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE222,0,NUTS2,BE22,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE223,0,ARROND,73,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE223,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE223,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE223,0,NUTS2,BE22,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE231,0,ARROND,41,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE231,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE231,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE231,0,NUTS2,BE23,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE232,0,ARROND,42,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE232,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE232,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE232,0,NUTS2,BE23,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE233,0,ARROND,43,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE233,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE233,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE233,0,NUTS2,BE23,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE234,0,ARROND,44,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE234,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE234,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE234,0,NUTS2,BE23,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE235,0,ARROND,45,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE235,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE235,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE235,0,NUTS2,BE23,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE236,0,ARROND,46,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE236,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE236,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE236,0,NUTS2,BE23,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE241,0,ARROND,23,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE241,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE241,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE241,0,NUTS2,BE24,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE242,0,ARROND,24,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE242,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE242,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE242,0,NUTS2,BE24,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE251,0,ARROND,31,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE251,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE251,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE251,0,NUTS2,BE25,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE252,0,ARROND,32,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE252,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE252,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE252,0,NUTS2,BE25,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE253,0,ARROND,33,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE253,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE253,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE253,0,NUTS2,BE25,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE254,0,ARROND,34,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE254,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE254,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE254,0,NUTS2,BE25,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE255,0,ARROND,35,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE255,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE255,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE255,0,NUTS2,BE25,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE256,0,ARROND,36,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE256,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE256,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE256,0,NUTS2,BE25,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE257,0,ARROND,37,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE257,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE257,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE257,0,NUTS2,BE25,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE258,0,ARROND,38,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE258,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE258,0,NUTS1,BE2,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE258,0,NUTS2,BE25,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE310,0,ARROND,25,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE310,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE310,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE310,0,NUTS2,BE31,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE321,0,ARROND,51,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE321,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE321,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE321,0,NUTS2,BE32,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE322,0,ARROND,52,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE322,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE322,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE322,0,NUTS2,BE32,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE323,0,ARROND,53,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE323,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE323,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE323,0,NUTS2,BE32,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE324,0,ARROND,54,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE324,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE324,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE324,0,NUTS2,BE32,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE325,0,ARROND,55,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE325,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE325,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE325,0,NUTS2,BE32,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE326,0,ARROND,56,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE326,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE326,0,NUTS1,BE3,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE326,0,NUTS2,BE32,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE327,0,ARROND,57,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
NUTS3,2016,BE327,0,NUTS0,BE,0,NULL,NULL,TIMMERM,2023-09-27 15:40:00.000,0
